"country","year","l02","l38","l34","l58","exms_gs","frty","gdp","exp","consump","comp_emp","tax","subs","share_gdp_gerd","nip","c_gross_debt","avg_hicp","img","hh_sr","hh_ir","km","ass_w_h","lexp","wage_pps","share_gdp_pens","pop","ex_eu","ex_rw","im_eu","im_rw","unemp","pov_ratio","army_pers","fdi_share","gdp_gg","gini","edu_exp_tot","infl","army_exp","share_trade","corpt","g_effect","pol_stab","qual","rul_law","voic_acc","h_exp","n_h_bed","rur_pop","urb_pop"
"Austria",2000,NA,NA,NA,NA,1.08,1.36,213606.5,41054.6,111403.2,103350.7,32022.3,5311.9,1.89,-2.4,66.1,75.02,81676,NA,NA,104997,80.094,78.3,17.7,13.9,8002186,NA,NA,NA,NA,4.7,0,1.03851319783599,4.30890039482994,3.37572214708479,29,5.58880996704102,2.34486285357282,0.98031858008593,85.3604956179232,1.7510586977005,1.84726524353027,0.822056412696838,1.47547554969788,1.81233263015747,1.31755948066711,9.20371342,7.95,39.787,60.213
"Austria",2001,NA,NA,NA,NA,1.16,1.33,220525.1,41847.2,115508.2,105587.8,32887.8,5115.7,1.99,-0.7,66.7,76.74,89928,NA,NA,104986,81.992,78.8,17.7,13.9,8020946,NA,NA,NA,NA,4,NA,0.888117931794083,2.88059839258097,1.26716818922992,NA,5.57547998428345,2.65000077279528,0.908240040709509,87.5366647639352,NA,NA,NA,NA,NA,NA,9.26942921,7.85,40.066,59.934
"Austria",2002,NA,NA,NA,NA,1.21,1.39,226735.2,42714,117323.8,107563.4,34020.2,5186.6,2.07,-1.4,66.7,78.04,108125,NA,NA,105073,83.726,78.9,18.4,13.9,8063640,NA,NA,NA,NA,4.9,NA,0.871263294004777,0.0645287981478418,1.65155392186669,NA,5.52213001251221,1.81035787764127,0.88352783657309,86.9481679996606,1.91515922546387,1.88022816181183,1.35895538330078,1.5380562543869,1.85791265964508,1.30749690532684,9.3947649,7.81,40.345,59.655
"Austria",2003,NA,NA,NA,NA,1.26,1.38,231862.5,44006.7,121223.7,109988.6,34425.6,5744.9,2.17,-1.8,65.9,79.05,111869,NA,NA,105040,85.301,78.8,19.1,14.1,8100273,NA,NA,NA,NA,4.8,0.3,0.861920143846002,2.36204525540375,0.941470920725337,29.5,5.36183023452759,1.35555370896452,0.913640318789259,86.3873824162825,1.96386861801147,1.93046128749847,0.962002456188202,1.53713607788086,1.84791743755341,1.34388208389282,9.5472393,7.73,40.625,59.375
"Austria",2004,24.7,75.3,59.8,15.4,1.26,1.42,242348.3,45782.9,126174.9,112760.5,35623.2,5812.1,2.17,-4.8,65.2,80.6,122547,NA,NA,105530,86.299,79.3,19.5,13.8,8142573,NA,NA,NA,NA,5.8,0.1,0.994979689658181,1.05608551598741,2.73512022241023,29.8,5.30243015289307,2.06120618032862,0.893480466242935,90.7923456929297,2.02662444114685,1.84377062320709,1.08964920043945,1.51410281658173,1.81666433811188,1.47565114498138,9.70939922,7.73,40.906,59.094
"Austria",2005,24.5,75.5,60.5,15,1.21,1.41,254075,49154.1,132206.2,116392.7,36603,5385.2,2.37,-2.5,68.6,82.3,114465,NA,NA,105663,87.97,79.5,20,13.6,8201359,NA,NA,NA,NA,5.6,0.2,0.988526420963482,25.6558278307872,2.24406532463878,28.7,5.24937009811401,2.29913785639285,0.850142574026263,94.0338056833054,1.91242349147797,1.67952907085419,1.10395002365112,1.60495746135712,1.84724950790405,1.37865650653839,9.62702942,7.69,41.187,58.813
"Austria",2006,25,75,60.3,14.7,1.18,1.41,267824.5,51578.4,137812.9,122008.5,37496.9,5498.7,2.36,-2.5,67.3,83.69,98535,NA,NA,105573,88.812,80.1,20.7,13.5,8254298,NA,NA,NA,NA,5.3,0.1,0.972134730096514,3.1225333500469,3.45404183614122,29.6,5.22652006149292,1.4415485111902,0.785813244459197,98.0883112053436,1.90487694740295,1.82738518714905,1.07445085048676,1.64441108703613,1.8997688293457,1.37268495559692,9.5311327,7.66,41.468,58.532
"Austria",2007,25.4,74.6,60,14.6,1.23,1.38,283978,53231.1,142646.4,128163.3,39395.6,5322.4,2.42,-1.4,65,85.53,72862,NA,NA,106855,89.444,80.3,21,13.2,8282984,NA,NA,NA,NA,4.9,0.4,0.83308301172362,17.6948460131618,3.72741530093519,30.6,5.14690017700195,2.16855528800749,0.90045717278703,100.733254061926,2.00334525108337,1.86356592178345,1.284419298172,1.69116389751434,1.94182562828064,1.36926245689392,9.53209686,7.75,41.751,58.249
"Austria",2008,24.6,75.4,60.4,15,1.2,1.42,293761.9,56614.2,146896.3,134924.7,41117.3,5720.4,2.57,-1.5,68.7,88.29,73772,NA,NA,106817,89.809,80.6,21.6,13.4,8307989,117496.1,38928.8,107404,36024.7,4.1,0.5,0.824821567528613,1.45842274091571,1.4604236757386,30.4,5.26395988464355,3.21595033239886,0.870705123070585,102.073682731706,1.8287581205368,1.77165818214417,1.33927059173584,1.60645174980164,1.91069889068604,1.35846436023712,9.72564602,7.69,42.034,57.966
"Austria",2009,23.8,76.2,60.2,16,1.18,1.39,288044,59579.6,148384.6,136194.1,41483.3,5964.6,2.6,-5.3,79.9,88.64,69295,NA,NA,108510,93.869,80.5,22.2,14.3,8335003,93424.2,36793,89619.2,30941.1,5.3,0.7,0.60439810466355,3.55936613543504,-3.76457817791677,31.5,5.73024988174438,0.506308827696515,0.833379564692924,87.0622309742796,1.69403409957886,1.66273927688599,1.19087398052216,1.4500185251236,1.77744269371033,1.39284467697144,10.22582531,7.68,42.317,57.683
